,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_bev,vehicle_split_ffv,vehicle_split_sidi,county,state
177,Kendall_TX,18549060000.0,3638913.0,52206186.0,2777796.2,7420.0,0.0,0.0,100.0,Kendall,TX
178,Kenedy_TX,135112320000.0,10667850.0,227106400.0,8143397.4,33067.0,0.0,0.0,100.0,Kenedy,TX
179,Kent_TX,20946481000.0,2546385.9,54209659.0,1943806.1,7893.0,0.0,0.0,100.0,Kent,TX
180,Kern_CA,224941588800.0,18019501.12,342791744.0,13887839.91,50003.000199999995,5.3,12.0,82.7,Kern,CA
181,Kerr_TX,201718480000.0,15926768.0,339062770.0,12157838.0,49368.0,0.0,0.0,100.0,Kerr,TX
182,Kimble_TX,24630659600.0,1955151.79,42888953.7,1453023.69,6410.0,16.7,0.0,83.3,Kimble,TX
183,King_TX,30910862600.0,5770966.010000001,88814888.0,4369662.42,12917.9999,12.2,0.0,87.8,King,TX
184,Kings_CA,12021062000.0,949128.02,20205855.0,724525.21,2942.0,0.0,0.0,100.0,Kings,CA
185,Kinney_TX,12300385000.0,1495312.2,31833494.0,1141459.7,4635.0,0.0,0.0,100.0,Kinney,TX
186,Kittson_MN,44492637000.0,3512935.1,74786390.0,2681629.8,10889.0,0.0,0.0,100.0,Kittson,MN
187,Kleberg_TX,2766650859850.0,149305805.84600002,5175955718.08,117362991.80299999,829982.000022,51.1,48.5,0.4,Kleberg,TX
188,Knox_TX,13346849850.0,1055907.8460000001,22580518.08,802874.803,3301.0000219999997,2.6,0.0,97.4,Knox,TX
189,Koochiching_MN,112997515000.0,8967224.1,198094490.0,6621033.94,29782.000200000002,20.4,0.0,79.6,Koochiching,MN
190,La Salle_TX,409363014000.0,35733491.5,1117077490.0,28150194.4,176579.00100000002,44.0,46.3,9.7,La Salle,TX
191,Lac qui Parle_MN,42697836000.0,8376365.8,120172730.0,6394172.4,17080.0,0.0,0.0,100.0,Lac qui Parle,MN
192,Lake of the Woods_MN,9134396000.0,1110434.6,23639889.0,847660.02,3442.0,0.0,0.0,100.0,Lake of the Woods,MN
193,Lake_CA,93462584000.0,28230511.0,405013060.0,21550008.0,57564.0,0.0,0.0,100.0,Lake_CA,CA
194,Lake_MN,240497722000.0,19047461.71,410784595.0,14375299.64,60501.0002,7.4,0.0,92.6,Lake_MN,MN
195,Lamar_TX,4309778900.0,523923.83,11153742.0,399941.86,1624.0,0.0,0.0,100.0,Lamar,TX
196,Lamb_TX,8623094000.0,2604618.2,37367527.0,1988258.2,5311.0,0.0,0.0,100.0,Lamb,TX
197,Lampasas_TX,22917018400.0,1782915.682,38255034.4,1351691.67,5609.0000199999995,4.5,0.0,95.5,Lampasas,TX
198,Lassen_CA,15009920000.0,1824700.2,38845791.0,1392900.9,5656.0,0.0,0.0,100.0,Lassen,CA
199,Lavaca_TX,6031750610.0,713631.275,15275555.4,542164.8587,2235.0000480000003,3.1,0.0,96.9,Lavaca,TX
200,Le Sueur_MN,12989033000.0,3923356.4,56286993.0,2994928.5,8000.0,0.0,0.0,100.0,Le Sueur,MN
201,Lee_TX,13058896492000.0,285091162.6,12181337150.0,171312411.7,2123582.0409999997,98.6,1.4,0.0,Lee,TX
202,Leon_TX,30293181000.0,3682629.6,78398993.0,2811167.7,11415.0,0.0,0.0,100.0,Leon,TX
203,Liberty_TX,55172601000.0,6707128.3,142787130.0,5119945.3,20790.0,0.0,0.0,100.0,Liberty,TX
204,Limestone_TX,26680846000.0,2109567.7,44910295.0,1610357.0,6539.0,0.0,0.0,100.0,Limestone,TX
205,Lincoln_MN,2845550310000.0,117687501.0,4294026300.0,88239915.0,702930.0,63.1,36.9,0.0,Lincoln,MN
206,Lipscomb_TX,104152570000.0,8223410.3,175067050.0,6277412.5,25490.0,0.0,0.0,100.0,Lipscomb,TX
207,Live Oak_TX,11065676000.0,874926.98,18626200.0,667883.2,2712.0,0.0,0.0,100.0,Live Oak,TX
208,Llano_TX,31556392000.0,3836193.5,81668193.0,2928392.0,11891.0,0.0,0.0,100.0,Llano,TX
209,Los Angeles_CA,9052128000.0,1100433.6,23426979.0,840025.66,3411.0,0.0,0.0,100.0,Los Angeles,CA
210,Loving_TX,48006612000.0,3790382.4,80692928.0,2893421.7,11749.0,0.0,0.0,100.0,Loving,TX
211,Lubbock_TX,74334372000.0,7280332.6,162449843.0,5324997.68,24626.9998,25.6,0.0,74.4,Lubbock,TX
212,Lynn_TX,993406958000.0,77281393.9,1251094695.0,58518709.6,183873.9951,16.9,3.8,79.3,Lynn,TX
213,Lyon_MN,7780955500.0,945901.89,20137175.0,722062.51,2932.0,0.0,0.0,100.0,Lyon,MN
214,Madera_CA,606683631000.0,45626582.8,1176998190.0,33969197.5,185136.0,45.4,17.0,37.6,Madera,CA
215,Madison_TX,2462512260000.0,196166234.0,4417210600.0,142232034.0,674628.0,30.2,0.0,69.8,Madison,TX
